id,timestamp,coin,text,sentiment,label_quality
0,2026-01-01T00:00:00Z,LINK,Powell speech could nuke the rally #btc,neutral,0.78
1,2026-01-02T01:00:00Z,ETH,L2 rollups keep eating mainnet TVL #link,bullish,0.9
2,2026-01-03T02:00:00Z,TIA,Powell speech could nuke the rally #tia,bearish,0.71
3,2026-01-04T03:00:00Z,BTC,Memecoin season is officially back #eth,neutral,0.88
4,2026-01-05T04:00:00Z,TIA,Memecoin season is officially back #link,neutral,0.91
5,2026-01-06T05:00:00Z,ARB,Memecoin season is officially back #arb,neutral,0.78
6,2026-01-07T06:00:00Z,BTC,L2 rollups keep eating mainnet TVL #link,bearish,0.8
7,2026-01-08T07:00:00Z,ETH,Memecoin season is officially back #sol,bullish,0.73
8,2026-01-09T08:00:00Z,BTC,GMX liquidity feels thin tonight #sol,neutral,0.78
9,2026-01-10T09:00:00Z,BTC,BTC chop is going nowhere fast #tia,bullish,0.99
10,2026-01-11T10:00:00Z,ARB,Powell speech could nuke the rally #tia,bearish,0.95
11,2026-01-12T11:00:00Z,TIA,GMX liquidity feels thin tonight #tia,bullish,0.91
12,2026-01-13T12:00:00Z,BTC,Memecoin season is officially back #sol,bullish,0.96
13,2026-01-14T13:00:00Z,BTC,Solana DEX volume just printed a new ATH #sol,bearish,0.89
14,2026-01-15T14:00:00Z,SOL,L2 rollups keep eating mainnet TVL #sol,bearish,0.76
15,2026-01-16T15:00:00Z,SOL,Powell speech could nuke the rally #tia,neutral,0.75
16,2026-01-17T16:00:00Z,LINK,Memecoin season is officially back #eth,bearish,0.81
17,2026-01-18T17:00:00Z,LINK,DeFi blue chips are coiling up #eth,neutral,0.8
18,2026-01-19T18:00:00Z,BTC,Memecoin season is officially back #btc,bearish,0.82
19,2026-01-20T19:00:00Z,BTC,Memecoin season is officially back #tia,neutral,0.79
20,2026-01-21T20:00:00Z,LINK,BTC chop is going nowhere fast #arb,neutral,0.84
21,2026-01-22T21:00:00Z,SOL,L2 rollups keep eating mainnet TVL #eth,neutral,0.87
22,2026-01-23T22:00:00Z,SOL,Funding rates are flipping negative #arb,neutral,0.82
23,2026-01-24T23:00:00Z,ETH,L2 rollups keep eating mainnet TVL #tia,bearish,0.73
24,2026-01-25T00:00:00Z,BTC,Powell speech could nuke the rally #eth,neutral,0.75
25,2026-01-26T01:00:00Z,LINK,Solana DEX volume just printed a new ATH #tia,bullish,0.82
26,2026-01-27T02:00:00Z,TIA,BTC chop is going nowhere fast #tia,bearish,0.99
27,2026-01-28T03:00:00Z,BTC,Powell speech could nuke the rally #link,neutral,0.93
28,2026-01-01T04:00:00Z,LINK,GMX liquidity feels thin tonight #btc,bearish,0.83
29,2026-01-02T05:00:00Z,ARB,ETF flows look insane this week #link,neutral,0.78
30,2026-01-03T06:00:00Z,TIA,L2 rollups keep eating mainnet TVL #tia,bullish,0.96
31,2026-01-04T07:00:00Z,SOL,DeFi blue chips are coiling up #tia,bullish,0.75
32,2026-01-05T08:00:00Z,ETH,DeFi blue chips are coiling up #tia,bullish,0.88
33,2026-01-06T09:00:00Z,ARB,ETF flows look insane this week #btc,bearish,0.96
34,2026-01-07T10:00:00Z,SOL,Memecoin season is officially back #btc,bullish,0.96
35,2026-01-08T11:00:00Z,BTC,Powell speech could nuke the rally #link,bearish,0.94
36,2026-01-09T12:00:00Z,TIA,L2 rollups keep eating mainnet TVL #eth,neutral,0.84
37,2026-01-10T13:00:00Z,TIA,L2 rollups keep eating mainnet TVL #sol,neutral,0.96
38,2026-01-11T14:00:00Z,ARB,Memecoin season is officially back #tia,neutral,0.91
39,2026-01-12T15:00:00Z,LINK,Restaking yield finally cooling off #arb,neutral,0.89
40,2026-01-13T16:00:00Z,ARB,DeFi blue chips are coiling up #arb,bullish,0.77
41,2026-01-14T17:00:00Z,BTC,GMX liquidity feels thin tonight #btc,neutral,0.87
